place,rainfall,groundwater_refilled_total,groundwater_refilled_nonirrigated,groundwater_refilled_irrigated,groundwater_used_total,groundwater_used_nonirrigated,groundwater_status,land_irrigated,land_nonirrigated,land_total,year,state
waraseoni,1471.6,4160.27,2507.09,1653.18,1935.31,1364.52,safe,15232,29171,47603,2022,Madhya Pradesh
nalchha,902.3,12474.2,12194.31,279.89,13073.3,13000.08,over_exploited,975,77425,78400,2022,Madhya Pradesh
kolaras,994.9,10895.68,10895.68,0,7261.65,7261.65,semi_critical,0,107491,115200,2022,Madhya Pradesh
raghogarh,1082,18586.77,13989.08,4597.69,10134.04,9704.61,safe,14384,103752,124136,2022,Madhya Pradesh
pansemal,719.2,6739.84,5738.07,1001.77,8460.39,8231.83,over_exploited,4489,24691,59040,2022,Madhya Pradesh
tonkkhurd,1069,11574.55,11574.55,0,6048.05,6048.05,safe,0,62430,67900,2022,Madhya Pradesh
gohad,951,21989.45,12993.86,8995.59,6950.98,5906.95,safe,42770,60030,102800,2022,Madhya Pradesh
aron,1082,11761.58,11761.58,0,7602.64,7602.64,safe,0,78883,78883,2022,Madhya Pradesh
jirapur,972,12873.71,12873.71,0,9616.96,9616.96,semi_critical,0,84498,84498,2022,Madhya Pradesh
parasia,1139.25,8593.08,8593.08,0,5065.41,5065.41,safe,0,69020,78700,2022,Madhya Pradesh
dhanora,1323.6,4780.77,3788.76,992.01,1306.57,1275.63,safe,11951,48949,66700,2022,Madhya Pradesh
amla,1081.3,14909.7,13345.47,1564.23,7428.62,6859.58,safe,6438,101862,112000,2022,Madhya Pradesh
betul,1081.3,14177.6,13156.76,1020.84,10972.94,10495.59,semi_critical,3840,99160,115000,2022,Madhya Pradesh
ratlam,992.85,26355.48,26355.48,0,31151.06,31151.06,over_exploited,0,133100,133100,2022,Madhya Pradesh
bichhiya,1427.7,8222.16,6885.75,1336.41,1534.45,1359.03,safe,5038,82882,109900,2022,Madhya Pradesh
maheshwar,782.9,12252.04,6792.1,5459.94,5179.21,4532.62,safe,24134,58486,82620,2022,Madhya Pradesh
narayanganj,1427.7,3027.97,3027.97,0,949.23,949.23,safe,0,35200,44000,2022,Madhya Pradesh
alirajpur,836.2,5128.23,5128.23,0,1845.1,1845.1,safe,0,63900,66400,2022,Madhya Pradesh
dhimar kheda,1171.4,5394.98,5394.98,0,1674.32,1674.32,safe,0,84120,92500,2022,Madhya Pradesh
udaigarh,836.2,2504.7,2504.7,0,1020.37,1020.37,safe,0,34300,37000,2022,Madhya Pradesh
ujjain,861.5,14305.66,14305.66,0,19479.45,19479.45,over_exploited,0,75964,75964,2022,Madhya Pradesh
sheopur,799.2,32249.75,8999.39,23250.36,6282.19,4902.66,safe,60150,82450,142600,2022,Madhya Pradesh
