place,rainfall,groundwater_refilled_total,groundwater_refilled_nonirrigated,groundwater_refilled_irrigated,groundwater_used_total,groundwater_used_nonirrigated,groundwater_status,land_total,land_nonirrigated,land_irrigated,year,state
waraseoni,1471.6,4183.75,2525.46,1658.29,2011.89,1417.61,safe,47603.0,29171.0,15232.0,2023,Madhya Pradesh
nalchha,902.3,12440.46,12158.89,281.57,13891.77,13796.37,over_exploited,78400.0,77425.0,975.0,2023,Madhya Pradesh
kolaras,994.9,11040.03,11040.03,0.0,7987.09,7987.09,semi_critical,115200.0,107491.0,0.0,2023,Madhya Pradesh
raghogarh,1082.0,21183.87,16487.16,4696.71,12487.63,11902.89,safe,124136.0,103752.0,14384.0,2023,Madhya Pradesh
pansemal,742.5,6748.82,5722.2,1026.62,8468.23,8238.37,over_exploited,59040.0,24691.0,4489.0,2023,Madhya Pradesh
tonkkhurd,1069.0,11184.35,11184.35,0.0,6143.87,6143.87,safe,67900.0,62430.0,0.0,2023,Madhya Pradesh
gohad,951.0,22501.43,13751.46,8749.97,6959.91,5912.43,safe,102800.0,60030.0,42770.0,2023,Madhya Pradesh
aron,1082.0,11905.59,11905.59,0.0,7878.13,7878.13,safe,78883.0,78883.0,0.0,2023,Madhya Pradesh
jirapur,999.6,13326.67,13326.67,0.0,9835.89,9835.89,semi_critical,84498.0,84498.0,0.0,2023,Madhya Pradesh
parasia,1221.6,8617.13,8617.13,0.0,5158.64,5158.64,safe,78700.0,69020.0,0.0,2023,Madhya Pradesh
dhanora,1323.6,4563.99,3596.0,967.99,1364.58,1332.01,safe,66700.0,48949.0,11951.0,2023,Madhya Pradesh
amla,1081.3,14174.22,12456.48,1717.74,7453.5,6877.3,safe,112000.0,101862.0,6438.0,2023,Madhya Pradesh
betul,1081.3,13941.67,12477.27,1464.4,10999.83,10517.59,semi_critical,115000.0,99160.0,3840.0,2023,Madhya Pradesh
ratlam,953.5,25302.62,25302.62,0.0,31397.93,31397.93,over_exploited,133100.0,133100.0,0.0,2023,Madhya Pradesh
bichhiya,1445.1,8196.23,6872.33,1323.9,1600.24,1418.26,safe,109900.0,82882.0,5038.0,2023,Madhya Pradesh
