place,rainfall,groundwater_refilled_total,groundwater_refilled_nonirrigated,groundwater_refilled_irrigated,groundwater_used_total,groundwater_used_nonirrigated,groundwater_status,land_total,land_nonirrigated,land_irrigated,year
akuluto,2080.4,593.68,593.68,0.0,7.78,7.78,safe,26974.0,2703.28,0.0,2024
pungro,1074.1,137.12,137.12,0.0,0.4,0.4,safe,56500.0,1371.78,0.0,2024
kubulong,2080.4,491.94,491.94,0.0,0.09,0.09,safe,12773.0,4346.94,0.0,2024
longkhim,2079.5,76.61,76.61,0.0,4.08,4.08,safe,14989.0,613.67,0.0,2024
tening,1394.2,1063.5,1063.5,0.0,22.29,22.29,safe,52166.0,15398.61,0.0,2024
noklak,2079.5,324.52,324.52,0.0,7.71,7.71,safe,57107.0,2036.64,0.0,2024
wozhuru ralan,2166.76,1178.09,1178.09,0.0,29.88,29.88,safe,27268.0,10045.94,0.0,2024
tizit,1469.1,774.11,774.11,0.0,47.42,47.42,safe,23861.0,10367.56,0.0,2024
peren,1394.2,952.21,952.21,0.0,15.03,15.03,safe,47063.0,14102.3,0.0,2024
longleng,1879.5,919.94,919.94,0.0,4.51,4.51,safe,34503.56,7344.54,0.0,2024
zunheboto,2080.4,239.2,239.2,0.0,21.06,21.06,safe,9662.0,616.09,0.0,2024
tokiye,2080.4,252.89,252.89,0.0,9.47,9.47,safe,14966.0,905.94,0.0,2024
simiti,1074.1,344.36,344.36,0.0,2.96,2.96,safe,31080.0,1160.81,0.0,2024
chukitong,2166.76,683.81,683.81,0.0,3.87,3.87,safe,14534.0,4922.78,0.0,2024
phek,1295.1,162.49,162.49,0.0,5.37,5.37,safe,40088.02,1076.97,0.0,2024
mon,1469.1,771.54,771.54,0.0,29.71,29.71,safe,25278.0,10324.52,0.0,2024
ongpangkong south,2080.4,899.44,899.44,0.0,16.88,16.88,safe,22954.0,7946.47,0.0,2024
meluri,1295.1,417.8,417.8,0.0,14.21,14.21,safe,97649.74,5285.34,0.0,2024
sangsangnyu,2079.5,290.34,290.34,0.0,9.74,9.74,safe,35307.0,1483.26,0.0,2024
sekruzu,1295.1,191.13,191.13,0.0,4.55,4.55,safe,18197.28,2006.28,0.0,2024
kohima,1779.3,495.12,495.12,0.0,127.29,127.29,safe,25655.0,3706.42,0.0,2024
tobu,1469.1,379.33,379.33,0.0,4.82,4.82,safe,31288.0,4699.61,0.0,2024
satakha,2080.4,365.74,365.74,0.0,9.56,9.56,safe,38774.0,2093.25,0.0,2024
changtongya,2080.4,1545.46,1545.46,0.0,19.99,19.99,safe,42289.0,14301.82,0.0,2024
chessore,2079.5,130.28,130.28,0.0,7.82,7.82,safe,22679.0,955.34,0.0,2024
wokha,2166.76,1170.26,1170.26,0.0,54.54,54.54,safe,26904.0,10647.08,0.0,2024
noksen,2079.5,152.86,152.86,0.0,5.6,5.6,safe,28340.0,1238.06,0.0,2024
tamlu,1879.5,624.27,624.27,0.0,2.05,2.05,safe,21696.44,5545.08,0.0,2024
medziphema,1744.96,11247.35,11247.35,0.0,889.74,889.74,safe,55165.0,37180.03,0.0,2024
jakhama,1779.3,553.42,553.42,0.0,12.15,12.15,safe,24600.0,4492.73,0.0,2024
jalukie,1394.2,2487.83,2487.83,0.0,134.05,134.05,safe,65871.0,34337.53,0.0,2024
chen,1469.1,912.08,912.08,0.0,26.18,26.18,safe,37708.0,12467.75,0.0,2024
pomching,1469.1,643.87,643.87,0.0,28.32,28.32,safe,26015.0,9683.27,0.0,2024
suruhoto,2080.4,182.14,182.14,0.0,5.77,5.77,safe,12024.0,765.26,0.0,2024
mangkolemba,2080.4,1744.22,1744.22,0.0,29.08,29.08,safe,44812.0,15099.67,0.0,2024
bhandari,2166.76,2559.36,2559.36,0.0,30.09,30.09,safe,49715.0,22870.1,0.0,2024
thonoknyu,2079.5,230.42,230.42,0.0,4.01,4.01,safe,53298.0,2003.14,0.0,2024
pfutsero,1295.1,296.35,296.35,0.0,9.64,9.64,safe,30044.41,1889.11,0.0,2024
ongpangkong north,2080.4,862.2,862.2,0.0,14.46,14.46,safe,24572.0,8336.23,0.0,2024
chare,2079.5,93.12,93.12,0.0,1.41,1.41,safe,8271.0,511.04,0.0,2024
kuhoboto,1744.96,1849.02,1849.02,0.0,153.15,153.15,safe,6976.0,4004.75,0.0,2024
sanis,2166.76,2042.31,2042.31,0.0,59.77,59.77,safe,44379.0,18434.72,0.0,2024
longchem,2080.4,701.55,701.55,0.0,14.91,14.91,safe,14100.0,5011.83,0.0,2024
kiphire,1074.1,98.69,98.69,0.0,5.8,5.8,safe,25420.0,1043.61,0.0,2024
dhansiripar,1744.96,6837.81,6837.81,0.0,234.85,234.85,safe,21215.0,16602.22,0.0,2024
niuland,1744.96,2801.29,2801.29,0.0,131.57,131.57,safe,9344.0,5258.67,0.0,2024
wakching,1469.1,949.46,949.46,0.0,10.19,10.19,safe,34450.0,13969.73,0.0,2024
tseminyu,1779.3,839.72,839.72,0.0,40.14,40.14,safe,36389.0,7483.42,0.0,2024
chiephobozou,1779.3,1193.18,1193.18,0.0,36.58,36.58,safe,59656.0,12581.0,0.0,2024
kikruma,1295.1,113.65,113.65,0.0,3.91,3.91,safe,16620.55,1051.3,0.0,2024
shamator,2079.5,155.46,155.46,0.0,6.37,6.37,safe,33609.0,1282.28,0.0,2024
ghathashi,2080.4,262.42,262.42,0.0,5.32,5.32,safe,23100.0,1901.65,0.0,2024
thingsulthliah,2204.0,291.54,291.54,0.0,16.97,16.97,safe,73100.0,4161.0,0.0,2024
bilkhawthlir,2205.0,1333.47,1333.47,0.0,22.4,22.4,safe,51106.0,18978.0,0.0,2024
chawngte,2022.0,1591.7,1591.7,0.0,30.9,30.9,safe,69948.0,24542.0,0.0,2024
khawzawl,1728.0,523.32,523.32,0.0,7.09,7.09,safe,113287.0,9486.0,0.0,2024
darlawn,2204.0,534.09,534.09,0.0,19.58,19.58,safe,105043.0,7623.0,0.0,2024
sangau,2022.0,115.51,115.51,0.0,7.94,7.94,safe,47258.0,1781.0,0.0,2024
