place,rainfall,groundwater_refilled_total,groundwater_refilled_irrigated,groundwater_refilled_nonirrigated,groundwater_used_total,groundwater_used_nonirrigated,groundwater_status,land_irrigated,land_nonirrigated,land_total,year
waraseoni,1471.6,4333.93,1750.97,2582.96,1869.12,1299.78,safe,15232,29171,47603,2021
nalchha,902.3,12527.75,292.92,12234.83,13036.35,12963.25,over_exploited,975,77425,78400,2021
kolaras,994.9,10846.52,0,10846.52,7253.92,7253.92,semi_critical,0,107491,115200,2021
raghogarh,1082,17982.3,4603.17,13379.13,10121.97,9693.99,safe,14384,103752,124136,2021
pansemal,719.2,6613.38,1037.53,5575.85,8452.56,8225.3,over_exploited,4489,24691,59040,2021
tonkkhurd,1069,11608.81,0,11608.81,6044.74,6044.74,safe,0,62430,67900,2021
gohad,951,21085.42,9207.74,11877.68,6938.43,5899.87,safe,42770,60030,102800,2021
aron,1082,11500.13,0,11500.13,7599.45,7599.45,safe,0,78883,78883,2021
jirapur,972,12651.68,0,12651.68,9608.84,9608.84,semi_critical,0,84498,84498,2021
parasia,1139.25,8589.48,0,8589.48,5054.73,5054.73,safe,0,69020,78700,2021
dhanora,1323.6,5706.42,1195.95,4510.47,1303.19,1272.37,safe,11951,48949,66700,2021
amla,1074.8,15422.9,1565.9,13857,7420.49,6852.67,safe,6438,101862,112000,2021
betul,1074.8,14399.09,1027.03,13372.06,10959.23,10483.94,semi_critical,3840,99160,115000,2021
ratlam,992.85,26192.34,0,26192.34,31065.29,31065.29,over_exploited,0,133100,133100,2021
bichhiya,1427.7,7303.27,1341.71,5961.56,1528.61,1354.6,safe,5038,82882,109900,2021
maheshwar,782.9,11939.09,5458.28,6480.81,5161.9,4517.55,safe,24134,58486,82620,2021
narayanganj,1427.7,2933.52,0,2933.52,945.86,945.86,safe,0,35200,44000,2021
alirajpur,836.2,4560.99,0,4560.99,1840.67,1840.67,safe,0,63900,66400,2021
dhimar kheda,1171.4,5462.86,0,5462.86,1665.98,1665.98,safe,0,84120,92500,2021
udaigarh,836.2,2428.8,0,2428.8,1017.79,1017.79,safe,0,34300,37000,2021
ujjain,861.5,14287.62,0,14287.62,19466.6,19466.6,over_exploited,0,75964,75964,2021
sheopur,799.2,25040.64,15584.61,9456.03,6303.7,4922.95,safe,60150,82450,142600,2021
bhopal urban,1127.06,5454.06,0,5454.06,3685.39,3685.39,semi_critical,0,38293,42500,2021
pawai,1182.9,10861.54,1024.77,9836.77,3598.07,3461.76,safe,4738,132338,157576,2021
tamia,1139.25,5139.49,0,5139.49,1045.95,1045.95,safe,0,51702,153800,2021
jawa,1141.45,8585.53,0,8585.53,3006.74,3006.74,safe,0,73400,81400,2021
hatta,1176,3010.2,762.88,2247.32,1847.39,1787.02,safe,3998,45102,86500,2021
bamori,1082,17393.75,3704.08,13689.67,10027.48,9623.14,safe,12640,145508,158848,2021
khargone,782.9,6158.72,1362.18,4796.54,4400.54,4062.89,semi_critical,8510,40930,49440,2021
kurwai,1071.4,12047.05,0,12047.05,8445.97,8445.97,semi_critical,0,81000,83100,2021
sondwa,836.2,5930.82,0,5930.82,1884.06,1884.06,safe,0,87400,92200,2021
bhabra,836.2,1948.14,0,1948.14,1221.05,1221.05,safe,0,31300,34000,2021
narwar,994.9,9333.16,1992.65,7340.51,6353.62,5825.18,semi_critical,12617,80183,98400,2021
jaora,753,9754.52,6244.95,3509.57,3335.21,1699.91,safe,29553,27742,68595,2021
dabra,870,21550.18,15612.59,5937.59,4268.06,2338.15,safe,60100,31200,97400,2021
umarvan,902.3,9048.03,5960.68,3087.35,2310.21,1275.28,safe,24760,23140,47900,2021
hanumana,1141.45,7331.6,0,7331.6,2180.83,2180.83,safe,0,90470,96070,2021
patharia,1176,5543.99,319.03,5224.96,4391.26,4323.51,semi_critical,4383,85954,97000,2021
majholi,1154.15,6109.62,0,6109.62,1941.49,1941.49,safe,0,66784,73700,2021
indore urban,976.8,6397.73,0,6397.73,5643.82,5643.82,critical,0,53000,53000,2021
keolari,1323.6,7146.27,2237.83,4908.44,1675.7,1498.72,safe,25430,51840,82700,2021
pahadgarh,753,9461.29,6033.7,3427.59,2815.96,2244.36,safe,25200,47800,92200,2021
gandhwani,902.3,13175.76,6450.9,6724.86,3581.08,3293.94,safe,10733,62867,73600,2021
shujalpur,1036.1,14255.17,0,14255.17,13599.14,13599.14,over_exploited,0,81567,82567,2021
bhimpur,1074.8,10498.1,0,10498.1,2796.02,2796.02,safe,0,97800,115000,2021
ichhawar,1157.4,8186.02,1490,6696.02,5254.04,4902.87,safe,12022,40483,111085,2021
karanjiya,1376.7,4604.48,0,4604.48,481.79,481.79,safe,0,56480,70600,2021
bahoriband,1171.4,8974.28,1192.78,7781.5,2885.15,2752.11,safe,9348,88552,97900,2021
datia,963.8,8950.15,3098.05,5852.1,3676.92,2714.4,safe,42937,66163,110900,2021
amarpur,1376.7,3445.01,0,3445.01,362.38,362.38,safe,0,44800,56000,2021
bankhedi,1324.5,18367.12,0,18367.12,14894.52,14894.52,semi_critical,0,66900,78900,2021
buxwaha,1092.7,7163.66,291.87,6871.79,5198.86,5096.03,semi_critical,1718,77395,90033,2021
indore,976.8,9041.53,0,9041.53,11399.35,11399.35,over_exploited,0,49821,51000,2021
rajpur,719.2,11163.33,4208.4,6954.93,9006.13,7620.99,semi_critical,21413,51623,77390,2021
jamai,1139.25,11754.29,0,11754.29,4126.95,4126.95,safe,0,96604,142400,2021
bijadandi,1427.7,3988.49,0,3988.49,424.82,424.82,safe,0,60880,76100,2021
rithi,1171.4,4016.01,508.48,3507.53,1742.44,1663.98,safe,5500,45770,63500,2021
teonthar,1141.45,10807.35,0,10807.35,4233.26,4233.26,safe,0,73690,79690,2021
nowgaon,1092.7,9115.14,2135.31,6979.83,7086.46,6735.51,semi_critical,16033,66228,91368,2021
mohgaon,1427.7,2522.78,0,2522.78,1261.62,1261.62,safe,0,32780,41900,2021
tirla,902.3,8860.55,0,8860.55,7618.59,7618.59,critical,0,53400,53400,2021
morena,753,13633.51,7236.05,6397.46,6387.78,4482.42,safe,45485,55615,106700,2021
gotegaon,1191,20002.47,5197.91,14804.56,11792.1,11270.19,safe,20900,51900,72800,2021
kundam,1279.45,4854.76,0,4854.76,1338.46,1338.46,safe,0,83200,121000,2021
barwani,719.2,7034.23,2354.98,4679.25,3347.93,2906.98,safe,14552,41248,76710,2021
mehgaon,951,23050.61,10026.62,13023.99,6183.45,5123.25,safe,31257,65643,96900,2021
shahpura,1279.45,10713.58,3957.01,6756.57,5905.72,4462.26,safe,17834,29275,53121,2021
harsud,951.65,5350.52,0,5350.52,2789.9,2789.9,safe,0,53847,100050,2021
badnagar,861.5,21097.17,0,21097.17,26066.27,26066.27,over_exploited,0,123595,123595,2021
kusmi,1154.15,9858.73,0,9858.73,1946.82,1946.82,safe,0,70617,133400,2021
jaithari,1423.6,7788.35,0,7788.35,1363.54,1363.54,safe,0,84000,97000,2021
gairatganj,1207.3,8847.7,0,8847.7,5124.66,5124.66,safe,0,74600,92000,2021
badarwas,994.9,12459.06,912.85,11546.21,9298.33,9040.59,semi_critical,3424,111752,121600,2021
maiihar,1075.5,6010.54,0,6010.54,4810.75,4810.75,semi_critical,0,94400,112572,2021
sanchi,1207.3,13409.98,0,13409.98,8042.66,8042.66,safe,0,105000,136000,2021
jabera,1176,5967.02,3290.66,2676.36,2412.17,2247.74,safe,12038,51362,126200,2021
sironj,1071.4,14344.87,2640.34,11704.53,9073.02,8883.81,safe,13755,89945,125500,2021
meghnagar,835.1,3451.01,0,3451.01,1836.32,1836.32,safe,0,45400,50200,2021
hoshangabad,1324.5,30002.86,30002.86,0,4043.64,2162.323751,safe,57400,0,66900,2021
panna,1182.9,12325.98,1465.84,10860.14,3513.22,3309.27,safe,13514,184839,205253,2021
ghansaur,1323.6,7771.95,0,7771.95,1712.23,1712.23,safe,0,83790,96300,2021
rampur karchuliyan,1141.45,4933.17,2071.66,2861.51,3267.38,2420.9,safe,19423,40387,62810,2021
paraswada,1471.6,8532.93,0,8532.93,388.57,388.57,safe,0,116750,124050,2021
pati,719.2,2794.87,199.31,2595.56,1732.3,1680.73,safe,1040,21552,71220,2021
neemuch,854.85,15137.38,707.2,14430.18,14963.51,14532.77,over_exploited,4638,98862,108500,2021
rajgarh,972,16797.21,0,16797.21,11692.74,11692.74,semi_critical,0,110500,110500,2021
sarangpur,972,14898.19,0,14898.19,15052.98,15052.98,over_exploited,0,90500,90500,2021
moman badodiya,1036.1,13778.9,0,13778.9,16683.93,16683.93,over_exploited,0,88176,90405,2021
khchrod,1116.3,19285.58,0,19285.58,13452.45,13452.45,semi_critical,0,110178,129268,2021
bhitarwar,870,25228.69,18788.99,6439.7,4636.6,3071.73,safe,53133,30767,90000,2021
damoh,1176,8128.95,1858.85,6270.1,3573.6,3425.18,safe,13815,71085,130400,2021
bhikangaon,782.9,11833.28,3972.4,7860.88,5174.45,4631.34,safe,17708,73772,91480,2021
naigarhi,1141.45,2754.26,0,2754.26,1715.85,1715.85,safe,0,35790,37790,2021
dindori,1376.7,6737.85,0,6737.85,684.32,684.32,safe,0,94160,117700,2021
khaknar,883.8,17563.65,1588.58,15975.07,10829.11,10572.82,safe,5423,134627,144700,2021
dharmpuri,902.3,8046.94,6447.29,1599.65,2136.49,1023.89,safe,28731,14169,42900,2021
rahatgarh,1205,9687.22,303.2,9384.02,5550.48,5493.7,safe,1971,87097,98500,2021
berasia,1126.46,20990.04,0,20990.04,14453.36,14453.36,semi_critical,0,136400,142400,2021
mohkheda,1139.25,11187.19,2298.84,8888.35,7865.93,7286.67,semi_critical,6380,64506,77500,2021
prabhat pattan,1074.8,11846.74,890.62,10956.12,2386.97,2176.57,safe,3326,103274,113300,2021
jawad,854.85,11763.88,745.48,11018.4,11903.84,11585.22,over_exploited,6502,150442,161944,2021
sabalgarh,753,13906.67,7781.66,6125.01,4285.7,3181.36,safe,19000,39000,71000,2021
shivpuri,994.9,12863.1,520.67,12342.43,6437.89,6309.28,safe,2750,181286,195600,2021
bichhua,1139.25,6108.17,0,6108.17,3020.12,3020.12,safe,0,41384,52700,2021
tikamgarh,943.6,11196.98,2537.5,8659.48,8323.62,7247.46,semi_critical,10169,74791,86760,2021
